SessionID,ParticipantID,TaskID,TaskName,SelectionMethod,TaskDifficulty,TaskType,StartedAt,EndedAt,TimeTakenMs,TotalAdjustments,ExcessTravel,PrecisionActivations,PrecisionDuration,GestureCount,LongPressCount,TapCount,DragCount,AccuracyScore,ErrorCount,AverageSelectionSpeed,CompletionStatus,FinalSelectionStart,FinalSelectionEnd,TextLength,CognitiveLoadScore
session_Ninad Patil_1761057937,,90EBC8DF-A735-4884-BC1D-D31BE3330EC2,,,easy,singleWord,2025-10-21T14:45:41Z,2025-10-21T14:45:54Z,13000,2,10,0,0.000,0,0,0,0,1.000,0,0.640,completed,0,0,71,
session_test_1761058307,,952BBACF-919C-4E71-9C4E-A41CE66691CB,,,easy,singleWord,2025-10-21T14:51:50Z,2025-10-21T14:51:56Z,6000,2,10,0,0.000,0,0,0,0,1.000,0,1.242,completed,0,0,71,
session_test_1761058307,,B9F9996D-F60F-4D83-83AF-8AFE193C34D3,,,easy,singleWord,2025-10-21T14:51:56Z,2025-10-21T14:52:26Z,30000,2,0,0,0.000,0,0,0,0,1.000,0,0.303,completed,0,0,62,
session_test_1761058307,,121C136C-1FD6-4D32-B6FE-A4546033A77A,,,easy,singleWord,2025-10-21T14:52:26Z,2025-10-21T14:52:33Z,7000,2,4,0,0.000,0,0,0,0,1.000,0,0.750,completed,0,0,110,
session_test_1761058307,,C6CC5842-77C7-48DE-B44B-B6AE5D100933,,,easy,singleWord,2025-10-21T14:52:33Z,2025-10-21T14:52:50Z,17000,2,10,0,0.000,0,0,0,0,1.000,0,0.287,completed,0,0,110,
session_test_1761058307,,938A5943-2DCF-4545-89EE-84EF3D596CAE,,,easy,singleWord,2025-10-21T14:52:50Z,2025-10-21T14:53:01Z,11000,3,20,0,0.000,0,0,0,0,1.000,0,0.936,completed,0,0,110,
session_test_1761058307,,4220DC70-D4BF-454B-ACCA-17FF17DA0877,,,easy,singleWord,2025-10-21T14:53:01Z,2025-10-21T14:53:10Z,9000,3,35,0,0.000,0,0,0,0,1.000,0,0.872,completed,0,0,110,
session_test_1761058307,,F7C244EA-34F0-4507-8201-B7921EE5E6DA,,,medium,singleWord,2025-10-21T14:53:10Z,2025-10-21T14:53:16Z,6000,2,0,0,0.000,0,0,0,0,1.000,0,1.426,completed,0,0,146,
session_test_1761058307,,79D172F5-7134-4E58-A6DE-7CC5AF6A66A8,,,medium,singleWord,2025-10-21T14:53:16Z,2025-10-21T14:53:27Z,11000,3,28,0,0.000,0,0,0,0,1.000,0,1.382,completed,0,0,146,
session_test_1761058307,,D91B8518-327F-4C34-B7D1-66F6F173517A,,,medium,singleWord,2025-10-21T14:53:27Z,2025-10-21T14:53:35Z,8000,3,65,0,0.000,0,0,0,0,1.000,0,2.288,completed,0,0,146,
session_test_1761058307,,6B61F1E7-9DCF-4830-833C-4C5D43892D2B,,,medium,singleWord,2025-10-21T14:53:35Z,2025-10-21T14:53:51Z,16000,3,133,0,0.000,0,0,0,0,1.000,0,0.747,completed,0,0,146,
session_test_1761058307,,823E3CD8-7B8D-4BB3-9F70-40F67C1AD177,,,hard,phrase,2025-10-21T14:53:51Z,2025-10-21T14:54:00Z,9000,3,0,0,0.000,0,0,0,0,1.000,0,1.904,completed,0,0,162,
session_test_1761058307,,BFFE50D2-0DFD-456F-9728-ACE6F7AE287D,,,hard,phrase,2025-10-21T14:54:00Z,2025-10-21T14:54:17Z,17000,6,201,0,0.000,0,0,0,0,1.000,1,0.878,completed,0,0,162,
session_test_1761058307,,453CDA02-C17D-4B8C-A780-66FA889A672C,,,hard,phrase,2025-10-21T14:54:17Z,2025-10-21T14:54:22Z,5000,3,99,0,0.000,0,0,0,0,1.000,0,2.617,completed,0,0,162,
session_test_1761058307,,09F82569-4930-4DE3-99C3-433F5562CB94,,,hard,phrase,2025-10-21T14:54:22Z,2025-10-21T14:54:44Z,22000,6,463,0,0.000,0,0,0,0,1.000,1,0.887,completed,0,0,162,
session_test_1761058307,,B3CBA822-FBE0-4005-BB61-45757E4DFC72,,,medium,sentence,2025-10-21T14:54:44Z,2025-10-21T14:54:54Z,10000,3,1,0,0.000,0,0,0,0,1.000,0,2.647,completed,0,0,155,
session_test_1761058307,,B3CBA822-FBE0-4005-BB61-45757E4DFC72,,,medium,sentence,2025-10-21T14:54:54Z,2025-10-21T14:54:54Z,0,1,0,0,0.000,0,0,0,0,1.000,0,5692.981,completed,0,0,155,
session_test_1761058307,,9C31ADAE-490E-417C-8871-5DA3532F7C30,,,medium,sentence,2025-10-21T14:54:54Z,2025-10-21T14:55:08Z,14000,6,201,0,0.000,0,0,0,0,1.000,1,1.776,completed,0,0,155,
session_test_1761058307,,9E498DC7-955D-4AD1-BF2C-6B4C76AA03EF,,,medium,sentence,2025-10-21T14:55:08Z,2025-10-21T14:55:16Z,8000,3,103,0,0.000,0,0,0,0,1.000,0,1.870,completed,0,0,155,
session_test_1761058307,,9E498DC7-955D-4AD1-BF2C-6B4C76AA03EF,,,medium,sentence,2025-10-21T14:55:16Z,2025-10-21T14:55:16Z,0,1,0,0,0.000,0,0,0,0,1.000,0,1085.071,completed,0,0,155,
session_test_1761058307,,5DAA2214-39B0-437C-BCDD-BE37F483C15F,,,medium,sentence,2025-10-21T14:55:16Z,2025-10-21T14:55:24Z,8000,3,123,0,0.000,0,0,0,0,1.000,0,2.390,completed,0,0,155,
session_test2_1761059029,,AC4ADDAC-0049-48E7-9C79-CA3336FCB35B,,,easy,singleWord,2025-10-21T15:03:56Z,2025-10-21T15:04:03Z,7000,2,10,0,0.000,0,0,0,0,1.000,0,1.127,completed,0,0,71,
session_test2_1761059029,,6AAC9CF9-3ACD-45B5-AC33-1C6FA1BEBFC3,,,easy,singleWord,2025-10-21T15:04:03Z,2025-10-21T15:04:20Z,17000,4,0,0,0.000,0,0,0,0,1.000,0,0.543,completed,0,0,62,
session_test2_1761059029,,6AAC9CF9-3ACD-45B5-AC33-1C6FA1BEBFC3,,,easy,singleWord,2025-10-21T15:04:20Z,2025-10-21T15:04:20Z,0,1,0,0,0.000,0,0,0,0,1.000,0,1075.401,completed,0,0,62,
session_test2_1761059029,,7EC38383-0021-48CD-9217-3E6AEAC98C98,,,easy,singleWord,2025-10-21T15:04:20Z,2025-10-21T15:04:26Z,6000,2,4,0,0.000,0,0,0,0,1.000,0,0.835,completed,0,0,110,
session_test2_1761059029,,DAF1BAB1-A911-4825-885B-B9A477721F0A,,,easy,singleWord,2025-10-21T15:04:26Z,2025-10-21T15:04:33Z,7000,5,10,0,0.000,0,0,0,0,1.000,0,0.674,completed,0,0,110,
