SessionID,SubmittedAt,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,TotalScore
session_Ninad_1762641160,2025-11-08T22:35:10Z,3,2,2,1,5,1,2,2,4,5,62
session_Jai Vasi_1762642561,2025-11-08T22:58:21Z,3,3,3,3,3,3,3,3,3,3,50
session_Jack_1762642895,2025-11-08T23:05:08Z,3,3,3,3,3,3,3,3,3,3,50
session_Presentation_1_1762870761,2025-11-11T14:20:27Z,4,2,3,4,4,4,1,3,3,5,42
session_Ninad_1762872452,2025-11-11T14:47:48Z,3,2,3,3,4,3,3,3,3,3,55
